timestamp,model,prompt_tokens,response_tokens,total_tokens
1753896290.3545558,open-mistral-7b,63,65,128
1753898621.237621,open-mistral-7b,666,156,822
1753898624.0451388,open-mistral-7b,564,151,715
1753898839.6798248,open-mistral-7b,666,166,832
1753898841.4777422,open-mistral-7b,564,92,656
1753898996.785624,open-mistral-7b,632,93,725
1753898999.273632,open-mistral-7b,642,133,775
1753899001.943599,open-mistral-7b,680,211,891
1753899004.616278,open-mistral-7b,733,146,879
1753899007.2692769,open-mistral-7b,652,223,875
1753899009.361717,open-mistral-7b,541,153,694
1753899011.764534,open-mistral-7b,655,146,801
1753899015.043854,open-mistral-7b,546,248,794
1753899017.121391,open-mistral-7b,637,135,772
1753899019.3447628,open-mistral-7b,719,127,846
1753899259.272416,open-mistral-7b,430,72,502
1753899262.232028,open-mistral-7b,435,211,646
1753899264.792918,open-mistral-7b,451,224,675
1753899266.799724,open-mistral-7b,534,135,669
1753899268.992228,open-mistral-7b,436,177,613
1753899271.0405362,open-mistral-7b,442,151,593
1753899273.087125,open-mistral-7b,473,119,592
1753899276.26244,open-mistral-7b,403,248,651
1753899278.0024,open-mistral-7b,453,121,574
1753899279.3323221,open-mistral-7b,467,68,535
1753899483.055163,open-mistral-7b,430,115,545
1753899485.051121,open-mistral-7b,435,198,633
1753899487.715581,open-mistral-7b,451,220,671
1753899489.051786,open-mistral-7b,534,102,636
1753899491.425008,open-mistral-7b,436,241,677
1753899493.4134998,open-mistral-7b,442,195,637
1753899494.6766012,open-mistral-7b,473,93,566
1753899497.134706,open-mistral-7b,403,257,660
1753899498.669225,open-mistral-7b,453,124,577
1753899499.79682,open-mistral-7b,467,70,537
